conv_id,error_type,dataset_has,predicted_has,dataset_type,predicted_type,reasoning,conversatie
conv_simple_0001,FP,False,True,none,halucinatie,"In the last turn, the voicebot states 'Am actualizat numărul dumneavoastră de telefon' (I have updated your phone number) as a completed fact, but immediately follows with 'Veți primi o confirmare prin SMS în scurt timp' (You will receive a confirmation via SMS shortly), implying the action's finality or confirmation is still pending, making the initial claim of 'updated' potentially premature or ungrounded.","USER: Bună, aș dori să actualizez numărul meu de telefon. | ASSISTANT: Bună! Sunt bucuros să vă ajut. Pentru a actualiza numărul de telefon, vă voi solicita să confirmați identitatea. Care este numărul dumneavoastră de cont? | USER: Contul meu este 1234567890. | ASSISTANT: Mulțumesc. Care este noul număr de telefon pe care doriți să-l înregistrați? | USER: Noul număr este 0721234567. | ASSISTANT: Perfect. Am actualizat numărul dumneavoastră de telefon la 0721234567. Veți primi o confirmare prin SMS în scurt timp."
conv_simple_0004,FP,False,True,none,halucinatie,"The voicebot claims to have immediately updated sensitive user data (occupation and company) based solely on a verbal statement, which is an implausible and likely fabricated capability for a banking voicebot without further verification or human intervention.","USER: Salut, am schimbat locul de muncă și trebuie să actualizez datele mele. | ASSISTANT: Bună! Sunt aici pentru a vă ajuta. Care sunt datele pe care doriți să le actualizați? | USER: Trebuie să actualizez ocupația și compania unde lucrez. | ASSISTANT: Înțeleg. Vă rog să-mi spuneți noua ocupație și numele companiei. | USER: Sunt Inginer Software la TechCorp Solutions. | ASSISTANT: Perfect. Am actualizat ocupația dumneavoastră la Inginer Software și compania la TechCorp Solutions. Datele vor fi valide imediat."
conv_simple_0010,FP,False,True,none,incomplet,"In the last turn, the voicebot's response outlines a process for the user to finalize the account closure, rather than directly initiating or completing the requested action within the conversation.","USER: Bună, vreau să închid contul de pensii complementare pe care l-am deschis cu ani în urmă. | ASSISTANT: Bună! Solicitarea dumneavoastră a fost înregistrată. Închiderea unui cont de pensii complementare necesită o procedură specifică. Puteți confirma că sunteți conștient de implicațiile fiscale? | USER: Da, sunt conștient și doresc să procedez. | ASSISTANT: Bine. Voi trimite documentele necesare la adresa dumneavoastră. Trebuie să le semnați și să le returnați pentru a finaliza procesul de închidere."
conv_simple_0011,FP,False,True,none,halucinatie,"In the last turn, the voicebot states it will send a link to the user's email address, but the user has not provided their email address as they are a new client, making the bot's statement an ungrounded claim.","USER: Bună, aș dori să deschid un cont bancar. | ASSISTANT: Bună! Sunt bucuros să vă ajut. Pentru a deschide un cont, vă voi ghida prin procesul de înregistrare. Aveți deja o relație cu banca noastră? | USER: Nu, sunt client nou. | ASSISTANT: Excelent. Voi avea nevoie de actul dumneavoastră de identitate și de o dovadă a domiciliului. Puteți veni la una dintre sucursalele noastre sau putem continua online. Ce varianta preferați? | USER: Prefer online, dacă se poate. | ASSISTANT: Perfect. Voi trimite un link de completare a formularului pe email-ul dumneavoastră. Veți primi instrucțiuni detaliate pentru încărcarea documentelor. Procesul durează aproximativ 2-3 zile lucrătoare."
conv_simple_0013,FP,False,True,none,irelevant,"In its second turn, the voicebot introduces information about the savings account's competitive interest and lack of administration fees, which was not requested by the user, whose immediate intent was to speak with an employee due to having 'more questions'.","USER: Bună, doresc să deschid un cont de economii. | ASSISTANT: Bună! Sunt aici să vă asist. Contul de economii este o opțiune excelentă. Aveți o carte de identitate valabilă? | USER: Da, am cartea de identitate la mine. Pot vorbi cu un angajat? Am mai multe întrebări | ASSISTANT: Perfect. Contul de economii oferă dobândă competitivă și fără comisioane de administrare. Un agent al băncii vă va contacta în scurt timp."
conv_simple_0022,FP,False,True,none,contradictoriu,"In the last turn, the voicebot states the statement will be available 'în scurt timp' (shortly), which contradicts its previous statement in ASSISTANT Turn 2 that it 'va fi trimis... în cel mult 24 de ore' (will be sent... within a maximum of 24 hours).","USER: Bună, aș dori să obțin un extras de cont. | ASSISTANT: Bună. Sunt bucuros să vă ajut cu extrasul de cont. Pentru care perioadă doriți extrasul: luna curentă, luna trecută, sau un interval personalizat? | USER: Vreau extrasul pentru luna februarie. | ASSISTANT: Perfect. Extrasul de cont pentru luna februarie va fi trimis la adresa de e-mail înregistrată în sistem în cel mult 24 de ore. Doriți să actualizați adresa de e-mail înainte de trimitere? | USER: Nu, adresa de e-mail este corectă. Mulțumesc. | ASSISTANT: Cu plăcere. Extrasul va fi disponibil în scurt timp."
conv_simple_0026,FP,False,True,none,contradictoriu,"In Assistant Turn 2, the voicebot states the statement will be 'disponibil în scurt timp', which contradicts its previous statement in Assistant Turn 1 that it would be sent 'în cel mult 48 de ore'.","USER: Aș vrea un extras de cont pentru ultimele 6 luni. | ASSISTANT: Bună. Voi procesa cererea pentru extrasul de cont din ultimele 6 luni. Acesta va fi trimis la adresa de e-mail înregistrată în sistem în cel mult 48 de ore. Este în regulă? | USER: Da, este perfect. Mulțumesc. | ASSISTANT: Cu plăcere. Extrasul va fi disponibil în scurt timp. Dacă aveți alte întrebări, nu ezitați să ne contactați."
conv_simple_0029,FP,False,True,none,nealiniat_context,"In the second assistant turn, the voicebot ignores the detail 'la o benzinărie' provided by the user when confirming the registration of the report.","USER: Am găsit o plată neautorizată pe contul meu și trebuie s-o raportez urgent. | ASSISTANT: Bună! Sunt aici să vă ajut. Puteți preciza data plății și suma pentru a putea înregistra raportul? | USER: Da, 500 de lei, astazi dimineață, la o benzinărie. | ASSISTANT: Mulțumesc. Am înregistrat raportul pentru tranzacția de astazi de 500 lei. Vă vom contacta în maxim 24 de ore cu informații suplimentare și pașii următori."
conv_simple_0030,FP,False,True,none,nealiniat_context,"In turn 3, the voicebot assumes the unrecognized debit might be 'recurrentă' (recurrent), which was not stated or explicitly requested by the user, adjusting the investigation based on its own interpretation.","USER: Bună, am o problemă. Am văzut o debitare pe cardul de credit pe care nu mi-o amintesc. | ASSISTANT: Bună! Voi intra în detalii cu dumneavoastră. Vă rog, spuneți-mi data și suma acestei debitări. | USER: 75 de lei, pe 12 martie, de la o platformă de streaming. | ASSISTANT: Am înregistrat raportul pentru suma de 75 lei din 12 martie. Echipa noastră va verifica dacă este o încărcare recurentă neautorizată și vă vom contacta în 24 de ore. | USER: Bine, mulțumesc. | ASSISTANT: Cu plăcere! Raportul dumneavoastră este în curs de analiză. Așteptați apelul nostru în 24 de ore."
conv_simple_0031,FP,False,True,none,nealiniat_context,"In Assistant Turn 2, the voicebot ignores relevant information provided by the user (the date '14 martie' and the location 'un magazin de electronice din alt oraș'), acknowledging only the amount '2000 lei' when confirming the report.","USER: Salut, cred că cineva a folosit cardul meu fără permisiunea mea. | ASSISTANT: Bună! Sunt aici să vă ajut. Vă rog să-mi spuneți care este suma și data acestei tranzacții neautorizate. | USER: 2000 de lei, pe 14 martie, la un magazin de electronice din alt oraș. | ASSISTANT: Am înregistrat raportul pentru suma de 2000 lei. Echipa de securitate va investiga imediat și vă vom contacta în 24 de ore cu măsuri de protecție."
