conv_id,error_type,dataset_has,predicted_has,dataset_type,predicted_type,reasoning,conversatie
conv_simple_0002,FP,False,True,none,halucinatie,"În turnul 2, voicebotul afirmă că a actualizat imediat adresa de domiciliu fără a solicita nicio confirmare sau autentificare suplimentară, ceea ce este implauzibil pentru un sistem bancar automat și o problemă de securitate majoră.","USER: Trebuie să schimb adresa de domiciliu. | ASSISTANT: Desigur, vă pot ajuta cu actualizarea adresei de domiciliu. Vă rog să-mi spuneți noua adresă completă. | USER: Strada Principală 45, Apartament 12, București, cod postal 010101. | ASSISTANT: Mulțumesc. Am actualizat adresa dumneavoastră de domiciliu. Modificarea va fi efectivă în termen de 24 de ore."
conv_simple_0004,FP,False,True,none,halucinatie,"Botul afirmă că a actualizat imediat datele utilizatorului și că acestea sunt valide instantaneu, o acțiune improbabilă pentru un voicebot bancar fără pași suplimentari de verificare sau procesare a informațiilor sensibile (turnul 3).","USER: Salut, am schimbat locul de muncă și trebuie să actualizez datele mele. | ASSISTANT: Bună! Sunt aici pentru a vă ajuta. Care sunt datele pe care doriți să le actualizați? | USER: Trebuie să actualizez ocupația și compania unde lucrez. | ASSISTANT: Înțeleg. Vă rog să-mi spuneți noua ocupație și numele companiei. | USER: Sunt Inginer Software la TechCorp Solutions. | ASSISTANT: Perfect. Am actualizat ocupația dumneavoastră la Inginer Software și compania la TechCorp Solutions. Datele vor fi valide imediat."
conv_simple_0010,FP,False,True,none,halucinatie,"În turn-ul doi al asistentului, botul afirmă că va trimite documentele la 'adresa dumneavoastră', fără ca adresa sau disponibilitatea ei pentru această acțiune să fi fost discutate sau confirmate de utilizator în conversație. Această informație nu este justificată de contextul dialogului.","USER: Bună, vreau să închid contul de pensii complementare pe care l-am deschis cu ani în urmă. | ASSISTANT: Bună! Solicitarea dumneavoastră a fost înregistrată. Închiderea unui cont de pensii complementare necesită o procedură specifică. Puteți confirma că sunteți conștient de implicațiile fiscale? | USER: Da, sunt conștient și doresc să procedez. | ASSISTANT: Bine. Voi trimite documentele necesare la adresa dumneavoastră. Trebuie să le semnați și să le returnați pentru a finaliza procesul de închidere."
conv_simple_0011,FP,False,True,none,halucinatie,"Voicebotul afirmă că va trimite un link pe email-ul utilizatorului, deși utilizatorul este client nou și nu a furnizat nicio adresă de email în conversație, inventând o informație fără bază contextuală în ultimul turn.","USER: Bună, aș dori să deschid un cont bancar. | ASSISTANT: Bună! Sunt bucuros să vă ajut. Pentru a deschide un cont, vă voi ghida prin procesul de înregistrare. Aveți deja o relație cu banca noastră? | USER: Nu, sunt client nou. | ASSISTANT: Excelent. Voi avea nevoie de actul dumneavoastră de identitate și de o dovadă a domiciliului. Puteți veni la una dintre sucursalele noastre sau putem continua online. Ce varianta preferați? | USER: Prefer online, dacă se poate. | ASSISTANT: Perfect. Voi trimite un link de completare a formularului pe email-ul dumneavoastră. Veți primi instrucțiuni detaliate pentru încărcarea documentelor. Procesul durează aproximativ 2-3 zile lucrătoare."
conv_simple_0012,FP,False,True,none,halucinatie,"Asistenta afirmă în ultimul turn că deschiderea contului se va finaliza în aceeași zi, ceea ce este o afirmație exagerată și, cel mai probabil, nerealistă pentru un cont curent de afaceri, constituind o informație inventată sau implauzibilă.","USER: Vreau să deschid un cont curent pentru afacerea mea. | ASSISTANT: Bună! Vă pot ajuta cu deschiderea unui cont curent pentru afacere. Aveți deja înregistrată firma la registrul de comerț? | USER: Da, sunt înregistrat. | ASSISTANT: Foarte bine. Voi avea nevoie de certificatul de înregistrare, dovada fiscală și documentele de identitate ale administratorului. Pot fi aduse la sucursală sau trimise online. Ce preferați? | USER: Voi veni la sucursală cu documentele. | ASSISTANT: Excelent! Puteți veni la orice sucursală a noastră în orele de program. Deschiderea contului se va finaliza în același zi."
conv_simple_0013,FP,False,True,none,irelevant,"În turnul 2, răspunsul voicebotului include o informație nerelevantă despre beneficiile contului de economii, deși utilizatorul a solicitat să vorbească cu un angajat pentru a adresa întrebări, nu detalii despre produs.","USER: Bună, doresc să deschid un cont de economii. | ASSISTANT: Bună! Sunt aici să vă asist. Contul de economii este o opțiune excelentă. Aveți o carte de identitate valabilă? | USER: Da, am cartea de identitate la mine. Pot vorbi cu un angajat? Am mai multe întrebări | ASSISTANT: Perfect. Contul de economii oferă dobândă competitivă și fără comisioane de administrare. Un agent al băncii vă va contacta în scurt timp."
conv_simple_0022,FP,False,True,none,contradictoriu,"În a treia replică a voicebotului, acesta afirmă că 'Extrasul va fi disponibil în scurt timp', ceea ce contrazice informația dată anterior în a doua replică, unde se menționa că 'Extrasul de cont... va fi trimis... în cel mult 24 de ore'.","USER: Bună, aș dori să obțin un extras de cont. | ASSISTANT: Bună. Sunt bucuros să vă ajut cu extrasul de cont. Pentru care perioadă doriți extrasul: luna curentă, luna trecută, sau un interval personalizat? | USER: Vreau extrasul pentru luna februarie. | ASSISTANT: Perfect. Extrasul de cont pentru luna februarie va fi trimis la adresa de e-mail înregistrată în sistem în cel mult 24 de ore. Doriți să actualizați adresa de e-mail înainte de trimitere? | USER: Nu, adresa de e-mail este corectă. Mulțumesc. | ASSISTANT: Cu plăcere. Extrasul va fi disponibil în scurt timp."
conv_simple_0026,FP,False,True,none,contradictoriu,Voicebotul oferă un termen de livrare contradictoriu pentru extrasul de cont în a doua replică ('în scurt timp') comparativ cu primul răspuns ('în cel mult 48 de ore').,"USER: Aș vrea un extras de cont pentru ultimele 6 luni. | ASSISTANT: Bună. Voi procesa cererea pentru extrasul de cont din ultimele 6 luni. Acesta va fi trimis la adresa de e-mail înregistrată în sistem în cel mult 48 de ore. Este în regulă? | USER: Da, este perfect. Mulțumesc. | ASSISTANT: Cu plăcere. Extrasul va fi disponibil în scurt timp. Dacă aveți alte întrebări, nu ezitați să ne contactați."
conv_simple_0027,FP,False,True,none,nealiniat_context,"Voicebotul a ignorat informația crucială oferită de utilizator despre „comerciantul pe care nu-l cunoaște” atunci când a confirmat înregistrarea raportului, menționând doar data și suma în turnul final al botului.","USER: Bună, am observat o tranzacție ciudată pe contul meu și vreau să o raportez. | ASSISTANT: Bună! Vă ajut cu plăcere. Pentru a raporta o tranzacție suspectă, am nevoie de câteva informații. Puteți să-mi spuneți data și aproximativ suma tranzacției? | USER: Era ieri, 15 martie, și suma a fost 250 de lei, pe un comerciant pe care nu-l cunosc. | ASSISTANT: Mulțumesc pentru informații. Am înregistrat raportul pentru tranzacția din 15 martie în valoare de 250 lei. Echipa noastră de securitate va analiza situația și vă vom contacta în termen de 24 de ore cu detalii."
conv_simple_0029,FP,False,True,none,nealiniat_context,"În al doilea răspuns, voicebotul ignoră informația relevantă furnizată de utilizator despre locația plății ('la o benzinărie') atunci când confirmă înregistrarea raportului.","USER: Am găsit o plată neautorizată pe contul meu și trebuie s-o raportez urgent. | ASSISTANT: Bună! Sunt aici să vă ajut. Puteți preciza data plății și suma pentru a putea înregistra raportul? | USER: Da, 500 de lei, astazi dimineață, la o benzinărie. | ASSISTANT: Mulțumesc. Am înregistrat raportul pentru tranzacția de astazi de 500 lei. Vă vom contacta în maxim 24 de ore cu informații suplimentare și pașii următori."
conv_simple_0031,FP,False,True,none,incomplet,"Voicebotul a recunoscut suma, dar nu a menționat explicit data și locația tranzacției, detalii furnizate de utilizator și relevante pentru raportul de fraudă, lăsând astfel confirmarea incompletă.","USER: Salut, cred că cineva a folosit cardul meu fără permisiunea mea. | ASSISTANT: Bună! Sunt aici să vă ajut. Vă rog să-mi spuneți care este suma și data acestei tranzacții neautorizate. | USER: 2000 de lei, pe 14 martie, la un magazin de electronice din alt oraș. | ASSISTANT: Am înregistrat raportul pentru suma de 2000 lei. Echipa de securitate va investiga imediat și vă vom contacta în 24 de ore cu măsuri de protecție."
conv_simple_0036,FP,False,True,none,nealiniat_context,"În turn-ul 2, voicebotul solicită utilizatorului să confirme adresa de email asociată contului, însă după ce utilizatorul furnizează o adresă, botul trimite instrucțiunile direct pe aceasta fără a confirma explicit dacă este într-adevăr adresa asociată contului blocat, ignorând o etapă de verificare esențială în context bancar.",USER: Am fost blocat din cont din cauza mai multor încercări greșite de conectare. | ASSISTANT: Înțeleg. Contul dumneavoastră a fost temporar blocat din motive de securitate. Vă voi ajuta să deblocați accesul. Vă sugerez să confirmați adresa de email asociată contului. | USER: Email-ul meu este ionpopescu@contact.com. | ASSISTANT: Mulțumesc. Am trimis instrucțiuni de deblocare pe adresa dumneavoastră. Urmați pașii din email pentru a vă recupera accesul și a seta o nouă parolă.
